id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,id_team,fouls_committed,fouls_suffered,yellow_cards,red_cards,total_attempts,attempts_on_target,attempts_off_target,blocked,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance,distance_covered(km/h),top_speed,minutes_played,assists,corners_taken,offsides,dribbles,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored,saves,goals_conceded,saves_on_penalty,clean_sheets,punches_made,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted,team
250046522,Julian Brandt,Germany,Midfielder,WINGER,82.0,176.0,28,52758,5.0,1.0,0,0,6.0,1.0,4.0,1.0,87.0,210.0,183.0,25.0,8.0,2.0,5.0,4.0,43.01,33.71,332.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,7.0,2.0,5.0,1.0,Borussia Dortmund
250161248,Sam Beukema,Netherlands,Defender,UNKNOWN,,,25,52969,4.0,5.0,1,0,2.0,1.0,1.0,0.0,94.0,214.0,200.0,100.0,1.0,1.0,3.0,4.0,39.0,30.14,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,3.0,2.0,1.0,11.0,Bologna FC 1909
250085751,Sandro Lauper,Switzerland,Midfielder,CENTRE_BACK,,,28,50031,3.0,2.0,1,0,2.0,0.0,2.0,0.0,88.25,160.0,144.0,0.0,0.0,0.0,5.0,4.0,38.35,30.59,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,1.0,4.0,14.0,BSC Young Boys
250177886,Igor Paixão,Brazil,Forward,UNKNOWN,,,24,52749,2.0,7.0,0,0,9.0,2.0,7.0,0.0,72.5,77.0,56.0,55.56,9.0,5.0,8.0,4.0,41.76,33.68,331.0,3.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,4.0,3.0,Feyenoord
250085369,Manuel Akanji,Switzerland,Defender,UNKNOWN,,187.0,29,52919,5.0,2.0,0,0,2.0,0.0,1.0,1.0,95.5,337.0,320.0,0.0,0.0,0.0,4.0,4.0,36.0,33.28,331.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,25.0,4.0,1.0,3.0,4.0,Manchester City
250176450,Lamine Yamal,Spain,Forward,UNKNOWN,,,17,50080,6.0,6.0,0,0,11.0,5.0,2.0,4.0,79.0,131.0,104.0,0.0,4.0,0.0,1.0,4.0,35.83,31.71,330.0,1.0,1.0,1.0,27.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,2.0,FC Barcelona
250196709,Atakan Karazor,Türkiye,Midfielder,UNKNOWN,,,28,50107,6.0,10.0,0,0,2.0,0.0,2.0,0.0,95.25,278.0,266.0,0.0,3.0,0.0,20.0,4.0,43.43,30.55,330.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,10.0,4.0,6.0,5.0,VfB Stuttgart
250096698,Christian Pulišić,USA,Forward,UNKNOWN,69.0,172.0,26,50058,0.0,6.0,0,0,7.0,5.0,1.0,1.0,88.75,149.0,133.0,55.56,9.0,5.0,3.0,4.0,44.55,33.53,329.0,1.0,11.0,0.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,AC Milan
250056159,Qazim Laçi,Albania,Midfielder,CENTRAL_MIDFIELDER,80.0,176.0,28,50033,4.0,1.0,0,0,2.0,1.0,0.0,1.0,80.75,110.0,89.0,0.0,3.0,0.0,2.0,4.0,41.01,31.65,329.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,5.0,3.0,2.0,5.0,AC Sparta Praha
250110734,Filip Ugrinic,Switzerland,Midfielder,,,,25,50031,4.0,3.0,1,0,4.0,2.0,2.0,0.0,89.75,157.0,141.0,27.28,11.0,3.0,13.0,4.0,42.75,32.25,328.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,1.0,4.0,2.0,BSC Young Boys
250102866,Amadou Haidara,Mali,Midfielder,CENTRAL_MIDFIELDER,,,26,2603790,3.0,1.0,0,0,4.0,2.0,2.0,0.0,88.25,154.0,138.0,0.0,2.0,0.0,1.0,4.0,41.63,30.13,327.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,7.0,4.0,10.0,RB Leipzig
250169764,Matteo Dams,Belgium,Defender,UNKNOWN,,,20,50062,8.0,2.0,2,0,0.0,0.0,0.0,0.0,92.25,133.0,124.0,33.34,3.0,1.0,6.0,4.0,39.13,33.07,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,18.0,6.0,12.0,6.0,PSV Eindhoven
250113211,Orkun Kökçü,Türkiye,Midfielder,ATTACKING_MIDFIELDER,,,23,50147,1.0,10.0,1,0,5.0,3.0,2.0,0.0,76.75,173.0,137.0,50.0,2.0,1.0,6.0,4.0,38.54,32.52,325.0,0.0,4.0,0.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,2.0,SL Benfica
250168990,Arnau Martínez,Spain,Defender,,,,21,2602798,4.0,4.0,2,1,1.0,1.0,0.0,0.0,86.0,172.0,150.0,0.0,6.0,0.0,3.0,4.0,39.42,31.69,325.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,6.0,3.0,3.0,6.0,Girona FC
250134138,Bradley Barcola,France,Forward,UNKNOWN,,,22,52747,1.0,1.0,0,0,6.0,4.0,2.0,0.0,78.0,122.0,99.0,0.0,6.0,0.0,0.0,4.0,36.75,35.27,324.0,0.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,2.0,1.0,2.0,Paris Saint-Germain
250130414,Arne Engels,Belgium,Midfielder,WINGER,,,21,50050,5.0,5.0,0,0,8.0,4.0,0.0,4.0,82.0,144.0,121.0,26.32,19.0,5.0,6.0,4.0,45.03,31.89,323.0,3.0,21.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,5.0,3.0,2.0,3.0,Celtic FC
250103758,Erling Haaland,Norway,Forward,UNKNOWN,,,24,52919,1.0,1.0,0,0,21.0,10.0,5.0,6.0,84.25,22.0,18.0,0.0,1.0,0.0,0.0,4.0,33.95,34.86,321.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,Manchester City
250064252,Rade Krunić,Bosnia and Herzegovina,Midfielder,CENTRAL_MIDFIELDER,74.0,184.0,31,50069,4.0,2.0,0,0,2.0,1.0,1.0,0.0,88.5,128.0,115.0,0.0,1.0,0.0,2.0,4.0,39.53,30.6,321.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,4.0,1.0,FK Crvena Zvezda
250042780,Mike Maignan,France,Goalkeeper,GOALKEEPER,80.0,187.0,29,50058,0.0,3.0,0,0,0.0,0.0,0.0,0.0,85.0,151.0,127.0,0.0,0.0,0.0,7.0,4.0,18.77,26.4,321.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,AC Milan
250124460,Christos Tzolis,Greece,Forward,WINGER,,,22,50043,7.0,8.0,0,0,12.0,6.0,3.0,3.0,91.0,117.0,106.0,33.34,3.0,1.0,1.0,4.0,39.01,33.24,320.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0,0.0,1.0,1.0,Club Brugge KV
250076357,Trent Alexander-Arnold,England,Defender,UNKNOWN,,,26,7889,1.0,1.0,0,0,6.0,0.0,2.0,4.0,75.75,181.0,137.0,22.23,9.0,2.0,6.0,4.0,35.8,34.14,320.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,2.0,1.0,1.0,1.0,Liverpool FC
